#,Company,Email,Person,Title,City,Notes
,MindStick Software,contact@mindstick.com,Contact Desk,General,Prayagraj,Prayagraj Microsoft partner/app dev; VERIFIED printed on mindstick.com homepage; MX OK
,Nadcab Labs,info@nadcab.com,Corporate Office,General,Prayagraj,Prayagraj blockchain/Web3 dev; VERIFIED printed on nadcab.com/contact; MX OK
,Nadcab Labs,sales@nadcab.com,Sales Desk,Sales,Prayagraj,Prayagraj blockchain/Web3 dev; VERIFIED printed on nadcab.com/contact and /career; MX OK
,Triffort,hr@triffort.com,HR Desk,Recruitment,Prayagraj,Prayagraj software dev; VERIFIED printed on triffort.com/contact; MX OK
,Triffort,sales@triffort.com,Sales Desk,Sales,Prayagraj,Prayagraj software dev; VERIFIED printed on triffort.com/contact; MX OK
,RR Multisales,hr@rrmultisales.com,HR Desk,Recruitment,Prayagraj,Prayagraj IT/software; VERIFIED printed on rrmultisales.com/contact; MX OK
,RR Multisales,info@rrmultisales.com,Corporate Office,General,Prayagraj,Prayagraj IT/software; VERIFIED printed on rrmultisales.com/contact; MX OK
,RR Multisales,support@rrmultisales.com,Support Desk,Support,Prayagraj,Prayagraj IT/software; VERIFIED printed on rrmultisales.com/contact; MX OK
,PraRabh IT Solutions,info@prarabhitsolutions.in,Corporate Office,General,Prayagraj,Prayagraj software/ERP/web dev; VERIFIED printed on prarabhitsolutions.in/contact; MX OK
,Ekaasha Technologies,info@ekaasha.com,Corporate Office,General,Prayagraj,Prayagraj IT services; VERIFIED printed on ekaasha.com/contact-us; MX OK
,United Medicity,medicity@united.ac.in,Hospital Desk,General,Prayagraj,Prayagraj multi-speciality hospital (United Group); VERIFIED printed on unitedmedicity.com/contact-us; MX OK
,Digiature Technology,digisales@digiature.com,Sales Desk,Sales,Prayagraj,Prayagraj software/web dev; VERIFIED printed on digiature.com/contact-us; MX OK
,ITI Limited - Naini Unit,unithead_nni@itiltd.co.in,Unit Head,Unit Head,Prayagraj,Naini (Prayagraj) plant of ITI Ltd; VERIFIED printed on itiltd.in/contact.php; MX OK
,MNNIT Allahabad,secretary@mnnit.ac.in,Secretary Desk,General,Prayagraj,"Prayagraj NIT - research/project internships, not industry roles; VERIFIED printed on mnnit.ac.in/contact-us; MX OK"
,SHUATS Prayagraj,fdean_engg@shuats.edu.in,Engineering Faculty Dean,Dean,Prayagraj,Prayagraj university engineering faculty; VERIFIED printed on shuats.edu.in; MX OK
,SHUATS Prayagraj,registrar@shuats.edu.in,Registrar,Registrar,Prayagraj,Prayagraj university; VERIFIED printed on shuats.edu.in; MX OK
,Drishti IAS,care@groupdrishti.in,Care Desk,General,Prayagraj,"Civil-services coaching, major Prayagraj centre; VERIFIED printed on drishtiias.com/contact-us; MX OK"
,Drishti IAS,publicrelations@groupdrishti.in,Public Relations,Public Relations,Prayagraj,"Civil-services coaching, major Prayagraj centre; VERIFIED printed on drishtiias.com/contact-us; MX OK"
,Provisioning Tech,info@provisioningtech.com,Corporate Office,General,Prayagraj,Prayagraj software/web & ERP dev; VERIFIED printed on provisioningtech.com/contact-us; MX OK
